date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:57	52930/52930	---M-Z	200	added ('OK')	text/html	etag:%2220414c8-cec2-582b3e74ea0c0-gzip%22	https://thememakker.com/templates/swift/hospital/	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/index.html	(from )
22:47:58	129/129	---M-Z	200	added ('OK')	text/plain	etag:%22aa1b72-a9-5f4a5b1eea7e8-gzip%22	https://thememakker.com/robots.txt		(from )
22:47:58	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2220414c4-47e-5485ac54d7e80-gzip%22	https://thememakker.com/templates/swift/hospital/favicon.ico	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/favicon.ico	(from https://thememakker.com/templates/swift/hospital/)
22:47:59	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2229e273b-26f1b-59afa1fc41940-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/bootstrap/css/bootstrap.min.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://thememakker.com/templates/swift/hospital/)
22:48:01	475/475	---MC-	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2017:18:25%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	/home/raushan/websites/doctor%20admin/fonts.googleapis.com/icone91f.css	(from https://thememakker.com/templates/swift/hospital/)
22:48:01	549/549	---M-Z	200	added ('OK')	text/css	etag:%222780c32-225-5454ff794a480-gzip%22	https://thememakker.com/templates/swift/hospital/assets/plugins/morrisjs/morris.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/plugins/morrisjs/morris.css	(from https://thememakker.com/templates/swift/hospital/)
22:48:03	354391/354391	---M-Z	200	added ('OK')	text/css	etag:%22208218a-56857-59afa1b797740-gzip%22	https://thememakker.com/templates/swift/hospital/assets/css/main.css	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/assets/css/main.css	(from https://thememakker.com/templates/swift/hospital/)
22:48:03	31954/31954	---M-Z	200	added ('OK')	text/html	etag:%2220414c2-7cd2-582b3e7aa2e40-gzip%22	https://thememakker.com/templates/swift/hospital/doctor-schedule.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/doctor-schedule.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:04	40219/40219	---M-Z	200	added ('OK')	text/html	etag:%2220414d7-9d1b-582b3e6b60a40-gzip%22	https://thememakker.com/templates/swift/hospital/patients.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/patients.html	(from https://thememakker.com/templates/swift/hospital/)
22:48:05	54997/54997	---M-Z	200	added ('OK')	text/html	etag:%2220414d8-d6d5-582b3e69785c0-gzip%22	https://thememakker.com/templates/swift/hospital/payments.html	/home/raushan/websites/doctor%20admin/thememakker.com/templates/swift/hospital/payments.html	(from https://thememakker.com/templates/swift/hospital/)
